Date,Crypto,Open,High,Low,Close
2019-05-29,LTC,0.45,0.46,0.42,0.45
2019-05-30,LTC,0.45,0.47,0.42,0.43
2019-05-31,LTC,0.43,0.43,0.4,0.43
2019-06-01,LTC,0.43,0.44,0.42,0.43
2019-06-02,LTC,0.43,0.45,0.43,0.44
2019-06-03,LTC,0.44,0.46,0.43,0.44
2019-06-04,LTC,0.44,0.44,0.39,0.39
2019-06-05,LTC,0.39,0.41,0.38,0.4
2019-06-06,LTC,0.4,0.43,0.39,0.42
2019-06-07,LTC,0.42,0.43,0.42,0.42
2019-06-08,LTC,0.42,0.43,0.4,0.41
2019-06-09,LTC,0.41,0.41,0.37,0.38
2019-06-10,LTC,0.38,0.4,0.37,0.4
2019-06-11,LTC,0.4,0.4,0.38,0.39
2019-06-12,LTC,0.39,0.4,0.39,0.4
2019-06-13,LTC,0.4,0.41,0.4,0.4
2019-06-14,LTC,0.4,0.4,0.39,0.4
2019-06-15,LTC,0.4,0.41,0.4,0.41
2019-06-16,LTC,0.41,0.44,0.41,0.42
2019-06-17,LTC,0.42,0.46,0.42,0.46
2019-06-18,LTC,0.45,0.46,0.42,0.43
2019-06-19,LTC,0.43,0.44,0.42,0.43
2019-06-20,LTC,0.43,0.44,0.42,0.43
2019-06-21,LTC,0.43,0.45,0.43,0.44
2019-06-22,LTC,0.44,0.51,0.44,0.48
2019-06-23,LTC,0.48,0.49,0.46,0.48
2019-06-24,LTC,0.48,0.48,0.45,0.46
2019-06-25,LTC,0.46,0.48,0.45,0.46
2019-06-26,LTC,0.46,0.49,0.46,0.47
2019-06-27,LTC,0.47,0.47,0.39,0.4
2019-06-28,LTC,0.4,0.42,0.4,0.42
2019-06-29,LTC,0.42,0.43,0.4,0.42
2019-06-30,LTC,0.42,0.43,0.39,0.4
2019-07-01,LTC,0.4,0.42,0.39,0.4
2019-07-02,LTC,0.4,0.41,0.38,0.4
2019-07-03,LTC,0.4,0.41,0.39,0.4
2019-07-04,LTC,0.4,0.41,0.39,0.39
2019-07-05,LTC,0.39,0.4,0.37,0.38
2019-07-06,LTC,0.38,0.41,0.37,0.4
2019-07-07,LTC,0.4,0.4,0.39,0.4
2019-07-08,LTC,0.4,0.4,0.39,0.4
2019-07-09,LTC,0.4,0.41,0.39,0.39
2019-07-10,LTC,0.39,0.4,0.35,0.36
2019-07-11,LTC,0.36,0.36,0.32,0.32
2019-07-12,LTC,0.32,0.35,0.32,0.34
2019-07-13,LTC,0.34,0.35,0.32,0.32
2019-07-14,LTC,0.32,0.34,0.3,0.32
2019-07-15,LTC,0.32,0.32,0.3,0.31
2019-07-16,LTC,0.31,0.32,0.29,0.3
2019-07-17,LTC,0.3,0.32,0.29,0.32
2019-07-18,LTC,0.32,0.33,0.3,0.32
2019-07-19,LTC,0.32,0.33,0.31,0.32
2019-07-20,LTC,0.32,0.34,0.32,0.34
2019-07-21,LTC,0.34,0.34,0.32,0.33
2019-07-22,LTC,0.33,0.33,0.32,0.32
2019-07-23,LTC,0.32,0.32,0.31,0.31
2019-07-24,LTC,0.31,0.32,0.3,0.32
2019-07-25,LTC,0.32,0.32,0.31,0.31
2019-07-26,LTC,0.31,0.33,0.31,0.32
2019-07-27,LTC,0.32,0.33,0.31,0.31
2019-07-28,LTC,0.31,0.31,0.31,0.31
2019-07-29,LTC,0.31,0.31,0.3,0.31
2019-07-30,LTC,0.31,0.32,0.31,0.32
2019-07-31,LTC,0.32,0.32,0.32,0.32
2019-08-01,LTC,0.32,0.32,0.31,0.32
2019-08-02,LTC,0.32,0.32,0.31,0.31
2019-08-03,LTC,0.31,0.32,0.31,0.32
2019-08-04,LTC,0.32,0.32,0.31,0.32
2019-08-05,LTC,0.32,0.33,0.32,0.32
2019-08-06,LTC,0.32,0.32,0.31,0.31
2019-08-07,LTC,0.31,0.32,0.31,0.31
2019-08-08,LTC,0.31,0.31,0.3,0.3
2019-08-09,LTC,0.3,0.31,0.29,0.29
2019-08-10,LTC,0.29,0.3,0.29,0.3
2019-08-11,LTC,0.3,0.31,0.29,0.31
2019-08-12,LTC,0.3,0.3,0.3,0.3
2019-08-13,LTC,0.3,0.3,0.29,0.29
2019-08-14,LTC,0.29,0.3,0.24,0.27
2019-08-15,LTC,0.27,0.27,0.25,0.26
2019-08-16,LTC,0.26,0.27,0.25,0.26
2019-08-17,LTC,0.26,0.27,0.26,0.26
2019-08-18,LTC,0.26,0.29,0.26,0.29
2019-08-19,LTC,0.29,0.29,0.28,0.28
2019-08-20,LTC,0.28,0.28,0.27,0.27
2019-08-21,LTC,0.27,0.27,0.26,0.27
2019-08-22,LTC,0.27,0.27,0.26,0.27
2019-08-23,LTC,0.27,0.28,0.27,0.28
2019-08-24,LTC,0.28,0.28,0.27,0.27
2019-08-25,LTC,0.27,0.28,0.27,0.27
2019-08-26,LTC,0.27,0.28,0.27,0.27
2019-08-27,LTC,0.27,0.27,0.26,0.27
2019-08-28,LTC,0.27,0.27,0.25,0.25
2019-08-29,LTC,0.25,0.26,0.25,0.26
2019-08-30,LTC,0.26,0.26,0.25,0.25
2019-08-31,LTC,0.25,0.26,0.25,0.25
2019-09-01,LTC,0.25,0.26,0.25,0.26
2019-09-02,LTC,0.26,0.27,0.25,0.26
2019-09-03,LTC,0.26,0.27,0.26,0.26
2019-09-04,LTC,0.26,0.27,0.26,0.26
2019-09-05,LTC,0.26,0.26,0.25,0.25
2019-09-06,LTC,0.25,0.26,0.25,0.25
2019-09-07,LTC,0.25,0.26,0.25,0.26
2019-09-08,LTC,0.26,0.27,0.26,0.26
2019-09-09,LTC,0.26,0.26,0.26,0.26
2019-09-10,LTC,0.26,0.26,0.25,0.26
2019-09-11,LTC,0.26,0.26,0.25,0.25
2019-09-12,LTC,0.25,0.26,0.25,0.25
2019-09-13,LTC,0.25,0.26,0.25,0.25
2019-09-14,LTC,0.25,0.27,0.25,0.26
2019-09-15,LTC,0.26,0.26,0.26,0.26
2019-09-16,LTC,0.26,0.26,0.26,0.26
