Date,Crypto,Open,High,Low,Close
2021-06-16,LTC,173.22,177.14,164.68,168.25
2021-06-17,LTC,167.9,173.31,163.08,164.17
2021-06-18,LTC,164.36,167.42,151.91,154.27
2021-06-19,LTC,154.27,160.88,153.58,156.4
2021-06-20,LTC,156.4,156.43,143.97,155.89
2021-06-21,LTC,155.89,156.0,127.96,134.22
2021-06-22,LTC,134.0,134.0,105.04,122.51
2021-06-23,LTC,122.51,133.74,117.5,125.34
2021-06-24,LTC,125.34,137.31,123.8,136.06
2021-06-25,LTC,136.06,138.33,125.21,128.83
2021-06-26,LTC,128.63,129.31,118.87,121.99
2021-06-27,LTC,124.2,129.94,124.14,125.5
2021-06-28,LTC,125.5,138.9,125.06,137.31
2021-06-29,LTC,137.31,149.16,135.93,144.74
2021-06-30,LTC,144.74,146.76,136.17,142.43
2021-07-01,LTC,142.34,144.51,134.35,136.12
2021-07-02,LTC,136.42,138.93,130.69,133.17
2021-07-03,LTC,133.17,141.34,133.08,139.72
2021-07-04,LTC,139.73,147.0,136.99,146.07
2021-07-05,LTC,146.07,147.98,134.29,138.8
2021-07-06,LTC,138.8,142.69,135.77,137.23
2021-07-07,LTC,137.23,142.9,135.9,139.6
2021-07-08,LTC,139.6,139.6,128.01,131.58
2021-07-09,LTC,131.58,135.36,126.3,133.66
2021-07-10,LTC,133.66,136.67,130.52,132.18
2021-07-11,LTC,133.9,135.83,132.25,133.74
2021-07-12,LTC,133.74,139.62,131.87,132.55
2021-07-13,LTC,132.55,134.5,129.61,131.16
2021-07-14,LTC,131.31,131.97,124.0,131.37
2021-07-15,LTC,131.18,132.98,122.09,125.28
2021-07-16,LTC,125.28,127.69,120.97,123.51
2021-07-17,LTC,123.51,124.26,117.78,121.27
2021-07-18,LTC,121.24,124.03,116.75,119.4
2021-07-19,LTC,119.15,121.99,111.91,113.8
2021-07-20,LTC,113.8,114.98,103.95,109.18
2021-07-21,LTC,109.18,119.1,105.15,116.59
2021-07-22,LTC,116.51,121.9,115.68,120.18
2021-07-23,LTC,120.18,123.52,117.07,120.0
2021-07-24,LTC,120.0,127.74,119.86,123.85
2021-07-25,LTC,123.85,127.99,123.66,124.7
2021-07-26,LTC,124.7,140.32,124.56,132.54
2021-07-27,LTC,132.62,134.54,127.45,133.14
2021-07-28,LTC,133.06,140.43,132.55,138.44
2021-07-29,LTC,138.29,141.95,136.96,140.94
2021-07-30,LTC,140.94,143.66,136.02,142.48
2021-07-31,LTC,142.52,146.53,142.01,143.91
2021-08-01,LTC,143.91,149.79,143.09,146.2
2021-08-02,LTC,146.2,146.72,138.22,139.78
2021-08-03,LTC,139.78,143.2,135.86,139.16
2021-08-04,LTC,139.16,144.0,135.65,143.63
2021-08-05,LTC,143.64,144.78,136.32,144.33
2021-08-06,LTC,144.34,150.72,142.02,148.66
2021-08-07,LTC,148.66,156.21,147.0,154.6
2021-08-08,LTC,154.6,157.56,147.36,148.68
2021-08-09,LTC,148.68,170.52,145.41,164.56
2021-08-10,LTC,164.29,168.49,159.04,166.75
2021-08-11,LTC,167.02,176.0,164.29,174.26
2021-08-12,LTC,174.26,179.61,160.85,165.68
2021-08-13,LTC,165.98,182.7,161.97,181.09
2021-08-14,LTC,181.29,185.0,175.2,178.82
2021-08-15,LTC,178.86,186.38,175.29,183.42
2021-08-16,LTC,183.63,188.94,177.73,179.94
2021-08-17,LTC,179.94,184.24,169.91,173.02
2021-08-18,LTC,172.99,174.48,163.22,165.19
2021-08-19,LTC,165.05,174.96,162.8,174.01
2021-08-20,LTC,174.0,183.97,173.36,180.84
2021-08-21,LTC,180.84,184.43,176.98,177.94
2021-08-22,LTC,178.3,189.56,177.82,179.82
2021-08-23,LTC,179.82,191.68,179.02,186.14
2021-08-24,LTC,186.3,188.44,172.54,176.78
2021-08-25,LTC,176.74,178.87,169.89,177.03
2021-08-26,LTC,177.05,180.15,165.32,169.81
2021-08-27,LTC,169.81,175.6,165.25,175.04
2021-08-28,LTC,175.07,177.0,171.54,172.83
2021-08-29,LTC,172.78,182.76,172.78,175.48
2021-08-30,LTC,175.48,177.81,167.8,175.01
2021-08-31,LTC,175.01,175.27,165.76,171.64
2021-09-01,LTC,171.88,180.82,168.91,180.18
