Date,Crypto,Open,High,Low,Close
2018-07-26,ETH,475.54,484.31,470.88,472.27
2018-07-27,ETH,471.8,471.8,455.98,466.36
2018-07-28,ETH,466.39,474.0,460.69,463.26
2018-07-29,ETH,463.26,471.63,461.66,465.89
2018-07-30,ETH,465.51,469.13,446.0,453.63
2018-07-31,ETH,453.5,458.0,427.03,432.27
2018-08-01,ETH,431.71,434.59,409.26,409.5
2018-08-02,ETH,409.56,424.0,407.02,409.97
2018-08-03,ETH,409.46,419.37,397.48,415.16
2018-08-04,ETH,415.64,419.15,401.0,404.2
2018-08-05,ETH,404.1,412.01,400.18,410.43
2018-08-06,ETH,410.86,413.27,402.66,403.48
2018-08-07,ETH,403.24,410.72,382.08,384.5
2018-08-08,ETH,384.6,384.6,347.95,357.8
2018-08-09,ETH,357.57,367.78,350.27,363.09
2018-08-10,ETH,363.11,369.78,342.25,343.0
2018-08-11,ETH,342.81,342.81,304.47,324.25
2018-08-12,ETH,325.5,331.38,314.6,319.9
2018-08-13,ETH,319.67,322.19,284.51,288.11
2018-08-14,ETH,288.12,288.66,250.59,259.0
2018-08-15,ETH,258.87,304.98,258.87,287.33
2018-08-16,ETH,287.3,299.0,277.24,283.0
2018-08-17,ETH,283.38,308.79,281.47,300.2
2018-08-18,ETH,300.3,321.08,282.39,288.81
2018-08-19,ETH,288.88,306.7,288.29,302.0
2018-08-20,ETH,303.13,303.87,282.56,285.71
2018-08-21,ETH,285.7,286.26,268.72,277.09
2018-08-22,ETH,277.19,299.0,267.52,268.01
2018-08-23,ETH,266.71,280.56,260.11,273.2
2018-08-24,ETH,273.48,281.65,270.53,279.78
2018-08-25,ETH,279.81,283.27,276.34,279.02
2018-08-26,ETH,279.02,280.3,269.28,272.37
2018-08-27,ETH,272.28,279.38,271.9,276.8
2018-08-28,ETH,276.44,295.99,275.9,294.11
2018-08-29,ETH,294.13,298.0,284.19,290.01
2018-08-30,ETH,290.01,291.59,270.7,284.8
2018-08-31,ETH,284.89,285.82,276.45,283.09
2018-09-01,ETH,283.4,302.42,281.02,297.8
2018-09-02,ETH,298.0,298.94,288.81,293.72
2018-09-03,ETH,293.19,295.98,285.43,290.22
2018-09-04,ETH,290.22,291.74,280.68,285.04
2018-09-05,ETH,285.05,287.31,239.5,245.12
2018-09-06,ETH,245.12,246.48,211.42,224.54
2018-09-07,ETH,224.34,233.38,213.47,217.66
2018-09-08,ETH,218.12,219.69,189.09,192.14
2018-09-09,ETH,192.8,208.0,185.32,201.49
2018-09-10,ETH,201.49,202.1,186.8,196.36
2018-09-11,ETH,196.25,198.86,176.0,181.75
2018-09-12,ETH,181.9,186.1,167.16,181.95
2018-09-13,ETH,181.75,212.5,180.31,205.53
2018-09-14,ETH,205.7,223.86,202.9,218.46
2018-09-15,ETH,218.31,227.31,208.26,223.54
2018-09-16,ETH,223.28,223.6,208.05,221.62
2018-09-17,ETH,221.34,224.63,192.33,194.48
2018-09-18,ETH,194.46,214.53,193.84,207.72
2018-09-19,ETH,207.72,214.82,197.68,210.96
2018-09-20,ETH,211.0,215.27,206.68,208.58
2018-09-21,ETH,208.64,252.34,208.11,242.73
2018-09-22,ETH,242.0,254.0,232.97,241.31
2018-09-23,ETH,241.32,249.0,236.6,241.34
2018-09-24,ETH,241.55,246.0,230.0,234.5
2018-09-25,ETH,234.3,234.33,203.46,213.9
2018-09-26,ETH,214.5,222.34,207.2,219.13
2018-09-27,ETH,219.21,233.9,209.89,228.37
2018-09-28,ETH,228.11,233.55,214.65,220.13
2018-09-29,ETH,220.01,236.0,213.48,230.27
2018-09-30,ETH,230.27,238.17,225.72,228.39
2018-10-01,ETH,228.26,234.66,224.14,228.78
2018-10-02,ETH,228.7,231.15,222.18,225.1
2018-10-03,ETH,225.0,226.87,214.56,216.67
2018-10-04,ETH,216.67,225.05,215.23,221.8
2018-10-05,ETH,221.8,223.78,218.7,221.84
2018-10-06,ETH,221.84,229.99,221.75,224.02
